Country Name,Country Code,Indicator Name,Indicator Code,Attribute,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Base Year
"Micronesia, Federated States of",868,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,26.98425764,26.08388274,26.34574121,26.18237648,25.24677287,26.82795426,28.28314841,29.68560311,30.95718023,
Papua New Guinea,853,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,25.02718136,28.11005661,30.55155066,34.26852519,36.48768901,38.58734233,39.49956271,40.43178771,40.63562963,
Solomon Islands,813,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,15.53933245,13.27763429,10.38256753,8.787806391,9.98800517,11.37286422,12.94491731,14.77969268,17.05725078,
Tuvalu,869,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,57.18036673,64.37257994,58.20714653,53.68025735,44.29450041,26.49119666,14.02714649,8.838704609,7.811339292,
Vanuatu,846,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,20.56768185,19.31624704,25.63073074,33.45078135,44.82672332,52.240386,56.40687442,59.80752653,61.41717813,
Asia,229,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,3.01416E+11,4.82831E+11,6.67582E+11,6.38568E+11,5.10584E+11,4.72928E+11,4.46113E+11,4.25217E+11,3.99138E+11,
Australia,193,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-50764921769,-42608127651,-57978251327,-43851666288,-52913845316,-57715467390,-60085006062,-63235820595,-66006009220,
Japan,158,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,45943967592,36476944245,1.3558E+11,1.76098E+11,1.71024E+11,1.74604E+11,1.70455E+11,1.83102E+11,1.84999E+11,
New Zealand,196,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-5880732753,-6201388351,-5594473436,-5385399651,-6824029063,-7777880451,-8552433219,-9189439320,-9722749308,
"China, P.R.: Mainland",924,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,1.48204E+11,2.77434E+11,3.30602E+11,2.70896E+11,2.00541E+11,1.85254E+11,1.7087E+11,1.52715E+11,1.38262E+11,
"China, P.R.: Hong Kong",532,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,4148916968,3786779009,9631115555,8894761098,9517194251,10849607948,11558816149,12625191635,13350309008,
"Korea, Republic of",542,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,81148200000,84373000000,1.05871E+11,1.01614E+11,89789758697,89537529995,92803285264,93100259432,94026472684,
Taiwan Province of China,528,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,53054000000,63812000000,76165000000,77901039470,76894398167,77327831846,78974039177,82190562707,85031926284,
South Asia,9502,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-35357985483,-29898753691,-25024688432,-35991757459,-59585618891,-73862167943,-81357526490,-89962486438,-96062753387,
Bangladesh,513,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,1897000000,1700500000,1506500000,-131145000,-1809675401,-2943344106,-4247265871,-5619498478,-7045573180,
India,534,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-32257000000,-26788000000,-22086000000,-31967352706,-49194261720,-58926519986,-64092236576,-71850699484,-79436974313,
Sri Lanka,524,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-2540575150,-1988577063,-2008523263,-1231398311,-2472924275,-2902706279,-3336632974,-3684380882,-3944477445,
Nepal,558,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,634644296.1,908454452.3,1067264310,831150223.8,-203618214.2,-834421270.2,-1036199116,-1105420054,-1388424450,
ASEAN,511,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-3888649826,23009343108,31513812467,26368485931,17340370836,8083528238,3790085109,-3731681680,-9783215559,
Brunei Darussalam,516,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,3777830664,5458727544,1555669936,451632848.4,-485726133.4,-19837861.86,1720356342,2207177094,2847164178,
Cambodia,522,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-1879815457,-2031682055,-1889228733,-1969114042,-1973033413,-2025363904,-2027911338,-2273317967,-2512352188,
Indonesia,536,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-29109457593,-27509595863,-17653732674,-21281098039,-23685539088,-26744346553,-27162374372,-29337530903,-31794238146,
Lao People's Democratic Republic,544,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-3122730843,-2707426440,-2903506497,-2471177576,-2609651072,-2448276598,-2492539979,-2625354984,-2727580484,
Malaysia,548,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,11261937767,14835218971,8874211411,3645533736,4996879098,5627203817,6333447834,7099069456,7926577339,
Myanmar,518,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-2956586102,-3682739327,-4878889993,-5664869059,-6134026531,-5990414817,-6606909221,-6905490261,-6509073073,
Philippines,566,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,11384000000,10758000000,8396000000,5542332110,4850438700,4298969454,3564213088,2599433658,1329882235,
Singapore,576,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,53770878287,53515725504,57921917335,57262925279,60105930423,59134085162,58074921985,57353155265,56093718400,
Thailand,578,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-5169130000,15417720000,30991499729,37692131798,30951479313,24484972666,20154178812,14630663226,10668167904,
Vietnam,582,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,7744000000,9508000000,905834000,769586325.6,227112812,416728853.7,900619747.7,1276682883,2086395109,
Bhutan,514,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-469745874.8,-483071935.3,-581429479.4,-579351878.2,-708205024.9,-528113488.5,-418385719.1,-142948210,-188422699.4,
Fiji,819,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-412351989.9,-338146127.4,-235124173.2,-328737585.1,-336956527.1,-341040811.9,-343300962.4,-334867221.5,-328521908.3,
Kiribati,826,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,15469464.78,44743513.15,72064197.67,-11850111.24,-4381812.315,-2901123.214,219166.1031,3142026.983,4299309.953,
Maldives,556,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-126308754,-118059145.3,-295500000,-388859787.8,-491267917.9,-631416852.4,-563707702,-477824197.8,-465611526.3,
"Marshall Islands, Republic of",867,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-18821676.05,-8198674.151,-5948754.72,-14381709.92,-18087441.75,-18831950.34,-19657064.75,-21966863.87,-24258963.9,
"Micronesia, Federated States of",868,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-31629229.03,21525640.88,3256275.219,-359797.8542,-2216676.987,-4426875.02,-6821438.959,-8536141.845,-10531338.55,
Palau,565,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-21223530.68,-29548525.25,-1450963.145,-15594766.43,-22403934.35,-28277136.55,-22843498.36,-21120198.45,-19271290.47,
Papua New Guinea,853,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-6659761927,654722871.9,2133849812,1484191062,1257012724,1063660768,998100284.7,843857889.1,854178897.1,
Samoa,862,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-1505550.714,-59518413.54,-30798703.27,-28795191.37,-27272201.89,-26017109.72,-26464924.68,-23055431.31,-32059917.47,
Solomon Islands,813,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-38483722.82,-50100847.08,-30023560.01,-53764655.2,-98049948.63,-93612065.78,-87439641.94,-89912094.67,-51720787.22,
"Timor-Leste, Dem. Rep. of",537,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,2391138375,1093182647,238919720.1,-248243940.5,-310660675.2,-354414822.9,-376726407.7,-405815246.4,-269921985,
Tonga,866,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-27750708.1,-41158858.54,-34308149.04,-32543025.65,-51224106.01,-58520913.69,-49222115.87,-42712113.14,-45873758.27,
